datetime,light
2011-06-15 21:06:00,44
2011-06-15 21:07:59,64
2011-06-15 23:07:59,64
2011-06-15 23:09:59,60
2011-06-15 23:11:59,52
2011-06-15 23:13:59,64
2011-06-15 23:25:59,64
2011-06-15 23:27:59,54
2011-06-15 23:29:59,56
2011-06-15 23:31:59,64
2011-06-15 23:35:59,64
2011-06-15 23:37:59,48
2011-06-15 23:39:59,44
2011-06-15 23:41:59,36
2011-06-15 23:43:59,36
2011-06-15 23:45:59,34
2011-06-15 23:51:59,34
2011-06-15 23:53:59,32
2011-06-15 23:55:59,28
2011-06-15 23:57:59,28
2011-06-15 23:59:59,26
2011-06-16 00:01:59,26
2011-06-16 00:03:59,24
2011-06-16 00:05:59,24
2011-06-16 00:07:59,22
2011-06-16 00:09:59,20
2011-06-16 00:11:59,20
2011-06-16 00:13:59,18
2011-06-16 00:15:59,17
2011-06-16 00:17:59,16
2011-06-16 00:19:59,64
2011-06-16 01:45:59,64
2011-06-16 01:47:59,19
2011-06-16 01:49:59,0
2011-06-16 09:07:59,0
2011-06-16 09:09:59,1
2011-06-16 09:11:59,2
2011-06-16 09:13:59,4
2011-06-16 09:15:59,6
2011-06-16 09:17:59,10
2011-06-16 09:19:59,15
2011-06-16 09:21:59,20
2011-06-16 09:23:59,30
2011-06-16 09:25:59,40
2011-06-16 09:27:59,54
2011-06-16 09:29:59,64
2011-06-17 01:19:59,64
2011-06-17 01:21:59,54
2011-06-17 01:23:59,42
2011-06-17 01:25:59,32
2011-06-17 01:27:59,24
2011-06-17 01:29:59,18
2011-06-17 01:31:59,13
2011-06-17 01:33:59,9
2011-06-17 01:35:59,6
2011-06-17 01:37:59,4
2011-06-17 01:39:59,2
2011-06-17 01:41:59,1
2011-06-17 01:43:59,0
2011-06-17 09:07:59,0
2011-06-17 09:09:59,1
2011-06-17 09:11:59,3
2011-06-17 09:13:59,4
2011-06-17 09:15:59,6
2011-06-17 09:17:59,10
2011-06-17 09:19:59,14
2011-06-17 09:21:59,20
2011-06-17 09:23:59,26
2011-06-17 09:25:59,32
2011-06-17 09:27:59,50
2011-06-17 09:29:59,64
2011-06-18 01:21:59,64
2011-06-18 01:23:59,46
2011-06-18 01:25:59,34
2011-06-18 01:27:59,24
2011-06-18 01:29:59,17
2011-06-18 01:31:59,12
2011-06-18 01:33:59,8
2011-06-18 01:35:59,5
2011-06-18 01:37:59,3
2011-06-18 01:39:59,2
2011-06-18 01:41:59,0
2011-06-18 09:03:59,0
2011-06-18 09:05:59,1
2011-06-18 09:07:59,2
2011-06-18 09:09:59,4
2011-06-18 09:11:59,7
2011-06-18 09:13:59,10
2011-06-18 09:15:59,14
2011-06-18 09:17:59,20
2011-06-18 09:19:59,28
2011-06-18 09:21:59,40
2011-06-18 09:23:59,54
2011-06-18 09:25:59,64
2011-06-19 01:17:58,64
2011-06-19 01:19:58,54
2011-06-19 01:21:58,38
2011-06-19 01:23:58,26
2011-06-19 01:25:58,18
2011-06-19 01:27:58,12
2011-06-19 01:29:58,8
2011-06-19 01:31:58,5
2011-06-19 01:33:58,3
2011-06-19 01:35:58,1
2011-06-19 01:37:58,0
2011-06-19 09:07:58,0
2011-06-19 09:09:58,1
2011-06-19 09:11:58,2
2011-06-19 09:13:58,4
2011-06-19 09:15:58,7
2011-06-19 09:17:58,10
2011-06-19 09:19:58,15
2011-06-19 09:21:58,20
2011-06-19 09:23:58,30
2011-06-19 09:25:58,40
2011-06-19 09:27:58,54
2011-06-19 09:29:58,64
2011-06-20 01:17:58,64
2011-06-20 01:19:58,58
2011-06-20 01:21:58,42
2011-06-20 01:23:58,30
2011-06-20 01:25:58,22
2011-06-20 01:27:58,15
2011-06-20 01:29:58,10
2011-06-20 01:31:58,7
2011-06-20 01:33:58,4
2011-06-20 01:35:58,2
2011-06-20 01:37:58,1
2011-06-20 01:39:58,0
2011-06-20 09:07:58,0
2011-06-20 09:09:58,1
2011-06-20 09:11:58,3
2011-06-20 09:13:58,4
2011-06-20 09:15:58,5
2011-06-20 09:17:58,6
2011-06-20 09:19:58,8
2011-06-20 09:21:58,12
2011-06-20 09:23:58,17
2011-06-20 09:25:58,24
2011-06-20 09:27:58,34
2011-06-20 09:29:58,48
2011-06-20 09:31:58,64
2011-06-20 13:21:58,64
2011-06-20 13:23:58,58
2011-06-20 13:25:58,64
2011-06-21 00:15:58,64
2011-06-21 00:17:58,22
2011-06-21 00:19:58,22
2011-06-21 00:21:58,20
2011-06-21 00:23:58,18
2011-06-21 00:25:58,12
2011-06-21 00:27:58,7
2011-06-21 00:29:58,4
2011-06-21 00:31:58,3
2011-06-21 00:33:58,3
2011-06-21 00:35:58,2
2011-06-21 00:37:58,1
2011-06-21 00:39:58,1
2011-06-21 00:41:58,0
2011-06-21 00:47:58,0
2011-06-21 00:49:58,6
2011-06-21 00:51:58,10
2011-06-21 00:53:58,12
2011-06-21 01:01:58,12
2011-06-21 01:03:58,0
2011-06-21 02:15:58,0
2011-06-21 02:17:58,6
2011-06-21 02:19:58,8
2011-06-21 02:21:58,0
2011-06-21 02:23:58,8
2011-06-21 02:25:58,10
2011-06-21 02:27:58,11
2011-06-21 02:29:58,0
2011-06-21 09:39:57,0
2011-06-21 09:41:57,1
2011-06-21 09:43:57,2
2011-06-21 09:45:57,2
2011-06-21 09:47:57,3
2011-06-21 09:49:57,4
2011-06-21 09:51:57,5
2011-06-21 09:53:57,6
2011-06-21 09:55:57,8
2011-06-21 09:57:57,9
2011-06-21 09:59:57,10
2011-06-21 10:01:57,12
2011-06-21 10:03:57,13
2011-06-21 10:05:57,15
2011-06-21 10:07:57,17
2011-06-21 10:09:57,19
2011-06-21 10:11:57,20
2011-06-21 10:13:57,20
2011-06-21 10:15:57,22
2011-06-21 10:17:57,24
2011-06-21 10:19:57,64
2011-06-21 10:21:57,28
2011-06-21 10:23:57,30
2011-06-21 10:25:57,34
2011-06-21 10:27:57,38
2011-06-21 10:29:57,42
2011-06-21 10:31:57,40
2011-06-21 10:33:57,42
2011-06-21 10:35:57,54
2011-06-21 10:37:57,64
2011-06-21 13:05:57,64
2011-06-21 13:07:57,15
2011-06-21 13:11:57,15
2011-06-21 13:13:57,11
2011-06-21 13:15:57,14
2011-06-21 13:17:57,22
2011-06-21 13:19:57,46
2011-06-21 13:21:57,26
2011-06-21 13:23:57,64
2011-06-21 13:31:57,64
2011-06-21 13:33:57,42
2011-06-21 13:35:57,40
2011-06-21 13:37:57,64
2011-06-21 13:39:57,46
2011-06-21 13:41:57,52
2011-06-21 13:43:57,50
2011-06-21 13:45:57,50
2011-06-21 13:47:57,52
2011-06-21 13:49:57,54
2011-06-21 13:51:57,52
2011-06-21 13:53:57,58
2011-06-21 13:55:57,64
2011-06-21 13:59:57,64
2011-06-21 14:01:57,58
2011-06-21 14:03:57,60
2011-06-21 14:05:57,64
2011-06-21 14:11:57,64
2011-06-21 14:13:57,60
2011-06-21 14:15:57,58
2011-06-21 14:17:57,64
2011-06-21 14:19:57,64
2011-06-21 14:21:57,52
2011-06-21 14:25:57,52
2011-06-21 14:27:57,50
2011-06-21 14:29:57,46
2011-06-21 14:33:57,46
2011-06-21 14:35:57,50
2011-06-21 14:37:57,50
2011-06-21 14:39:57,48
2011-06-21 14:41:57,38
2011-06-21 14:43:57,36
2011-06-21 14:45:57,36
2011-06-21 14:47:57,40
2011-06-21 14:49:57,42
2011-06-21 14:51:57,40
2011-06-21 14:53:57,38
2011-06-21 14:55:57,36
2011-06-21 14:57:57,40
2011-06-21 14:59:57,40
2011-06-21 15:01:57,42
2011-06-21 15:03:57,50
2011-06-21 15:05:57,64
2011-06-22 00:09:57,64
2011-06-22 00:11:57,58
2011-06-22 00:13:57,54
2011-06-22 00:15:57,52
2011-06-22 00:17:57,48
2011-06-22 00:19:57,46
2011-06-22 00:21:57,42
2011-06-22 00:23:57,38
2011-06-22 00:25:57,34
2011-06-22 00:27:57,30
2011-06-22 00:29:57,26
2011-06-22 00:31:57,22
2011-06-22 00:33:57,19
2011-06-22 00:35:57,64
2011-06-22 00:51:57,64
2011-06-22 00:53:57,3
2011-06-22 00:55:57,3
2011-06-22 00:57:57,2
2011-06-22 00:59:57,2
2011-06-22 01:01:57,1
2011-06-22 01:03:57,0
2011-06-22 10:07:57,0
2011-06-22 10:09:57,1
2011-06-22 10:13:57,1
2011-06-22 10:15:57,2
2011-06-22 10:17:57,2
2011-06-22 10:19:57,3
2011-06-22 10:25:57,3
2011-06-22 10:27:57,4
2011-06-22 10:29:57,4
2011-06-22 10:31:57,5
2011-06-22 10:33:57,6
2011-06-22 10:35:57,64
2011-06-22 10:37:57,7
2011-06-22 10:39:57,8
2011-06-22 10:41:57,9
2011-06-22 10:43:57,16
2011-06-22 10:45:57,20
2011-06-22 10:47:57,22
2011-06-22 10:49:57,28
2011-06-22 10:51:57,32
2011-06-22 10:53:57,28
2011-06-22 10:55:57,32
2011-06-22 10:57:57,40
2011-06-22 11:01:57,40
2011-06-22 11:03:57,38
2011-06-22 11:05:57,40
2011-06-22 11:07:57,42
2011-06-22 11:09:57,46
2011-06-22 11:11:57,50
2011-06-22 11:13:57,60
2011-06-22 11:15:57,60
2011-06-22 11:17:57,46
2011-06-22 11:19:57,40
2011-06-22 11:21:57,34
2011-06-22 11:23:57,42
2011-06-22 11:25:57,44
2011-06-22 11:27:57,44
2011-06-22 11:29:57,36
2011-06-22 11:31:57,36
2011-06-22 11:33:57,34
2011-06-22 11:35:57,40
2011-06-22 11:37:57,46
2011-06-22 11:39:57,48
2011-06-22 11:41:57,50
2011-06-22 11:43:57,52
2011-06-22 11:45:57,54
2011-06-22 11:47:57,64
2011-06-22 11:51:57,64
2011-06-22 11:53:57,46
2011-06-22 11:55:57,42
2011-06-22 11:57:57,48
2011-06-22 11:59:57,58
2011-06-22 12:01:57,64
2011-06-23 00:11:57,64
2011-06-23 00:13:57,60
2011-06-23 00:15:57,58
2011-06-23 00:17:57,52
2011-06-23 00:19:57,44
2011-06-23 00:21:57,40
2011-06-23 00:23:57,34
2011-06-23 00:25:57,30
2011-06-23 00:27:57,28
2011-06-23 00:29:57,24
2011-06-23 00:31:57,22
2011-06-23 00:33:57,20
2011-06-23 00:35:57,18
2011-06-23 00:37:57,16
2011-06-23 00:39:57,14
2011-06-23 00:41:57,12
2011-06-23 00:43:57,11
2011-06-23 00:45:57,10
2011-06-23 00:47:57,9
2011-06-23 00:49:57,8
2011-06-23 00:51:57,7
2011-06-23 00:53:57,6
2011-06-23 00:55:57,5
2011-06-23 00:57:57,4
2011-06-23 00:59:57,3
2011-06-23 01:01:57,3
2011-06-23 01:03:57,2
2011-06-23 01:05:57,1
2011-06-23 01:07:57,1
2011-06-23 01:09:57,0
2011-06-23 01:45:57,0
2011-06-23 01:47:57,64
2011-06-23 02:19:57,64
2011-06-23 02:21:57,0
2011-06-23 02:33:57,0
2011-06-23 02:35:57,64
2011-06-23 02:37:57,0
2011-06-23 09:27:57,0
2011-06-23 09:29:57,1
2011-06-23 09:31:57,2
2011-06-23 09:33:57,4
2011-06-23 09:35:57,5
2011-06-23 09:37:57,7
2011-06-23 09:39:57,10
2011-06-23 09:41:57,12
2011-06-23 09:43:57,16
2011-06-23 09:45:57,20
2011-06-23 09:47:57,24
2011-06-23 09:49:57,28
2011-06-23 09:51:57,34
2011-06-23 09:53:57,40
2011-06-23 09:55:57,46
2011-06-23 09:57:57,52
2011-06-23 09:59:57,58
2011-06-23 10:01:57,64
2011-06-23 10:37:57,64
2011-06-23 10:39:57,52
2011-06-23 10:41:57,0
2011-06-23 11:13:57,0
2011-06-23 11:15:57,4
2011-06-23 11:17:57,8
2011-06-23 11:19:57,64
2011-06-23 11:45:57,64
2011-06-23 11:47:57,34
2011-06-23 11:49:57,36
2011-06-23 11:51:57,64
2011-06-23 12:43:57,64
2011-06-23 12:45:57,1
2011-06-23 12:47:57,2
2011-06-23 12:49:57,2
2011-06-23 12:51:57,3
2011-06-23 12:53:57,8
2011-06-23 12:55:57,64
2011-06-24 01:11:56,64
2011-06-24 01:13:56,38
2011-06-24 01:15:56,64
2011-06-24 01:17:56,52
2011-06-24 01:19:56,44
2011-06-24 01:21:56,40
2011-06-24 01:23:56,32
2011-06-24 01:25:56,20
2011-06-24 01:27:56,13
2011-06-24 01:29:56,7
2011-06-24 01:31:56,5
2011-06-24 01:33:56,3
2011-06-24 01:35:56,1
2011-06-24 01:37:56,0
2011-06-24 09:19:56,0
2011-06-24 09:21:56,1
2011-06-24 09:23:56,2
2011-06-24 09:25:56,5
2011-06-24 09:27:56,8
2011-06-24 09:29:56,12
2011-06-24 09:31:56,17
2011-06-24 09:33:56,18
2011-06-24 09:35:56,34
2011-06-24 09:37:56,32
2011-06-24 09:39:56,26
2011-06-24 09:41:56,20
2011-06-24 09:43:56,38
2011-06-24 09:45:56,64
2011-06-25 01:09:56,64
2011-06-25 01:11:56,56
2011-06-25 01:13:56,40
2011-06-25 01:15:56,30
2011-06-25 01:17:56,24
2011-06-25 01:19:56,20
