tFirst,tSecond,type
2011-06-16 01:49:43,2011-06-16 09:12:29,2
2011-06-16 09:12:29,2011-06-17 01:39:29,1
2011-06-17 01:39:29,2011-06-17 09:11:29,2
2011-06-17 09:11:29,2011-06-18 01:38:59,1
2011-06-18 01:38:59,2011-06-18 09:08:29,2
2011-06-18 09:08:29,2011-06-19 01:34:28,1
2011-06-19 01:34:28,2011-06-19 09:12:28,2
2011-06-19 09:12:28,2011-06-20 01:35:28,1
2011-06-20 01:35:28,2011-06-20 09:11:28,2
2011-06-20 09:11:28,2011-06-21 02:29:30,1
2011-06-21 02:29:30,2011-06-21 09:46:57,2
2011-06-21 09:46:57,2011-06-22 00:56:57,1
2011-06-22 00:56:57,2011-06-22 10:18:57,2
2011-06-22 10:18:57,2011-06-23 02:37:52,1
2011-06-23 02:37:52,2011-06-23 09:32:27,2
2011-06-23 09:32:27,2011-06-24 01:34:26,1
2011-06-24 01:34:26,2011-06-24 09:24:16,2
2011-06-24 09:24:16,2011-06-25 01:29:26,1
2011-06-25 01:29:26,2011-06-25 09:26:56,2
2011-06-25 09:26:56,2011-06-26 01:40:16,1
2011-06-26 01:40:16,2011-06-26 09:21:26,2
2011-06-26 09:21:26,2011-06-27 01:37:25,1
2011-06-27 01:37:25,2011-06-27 09:14:25,2
2011-06-27 09:14:25,2011-06-28 01:28:55,1
2011-06-28 01:28:55,2011-06-28 09:20:25,2
2011-06-28 09:20:25,2011-06-29 01:37:25,1
2011-06-29 01:37:25,2011-06-29 09:19:24,2
2011-06-29 09:19:24,2011-06-30 01:38:54,1
2011-06-30 01:38:54,2011-06-30 09:13:34,2
2011-06-30 09:13:34,2011-07-01 01:37:39,1
2011-07-01 01:37:39,2011-07-01 09:16:54,2
2011-07-01 09:16:54,2011-07-02 01:36:53,1
2011-07-02 01:36:53,2011-07-02 09:22:23,2
2011-07-02 09:22:23,2011-07-03 01:15:23,1
2011-07-03 01:15:23,2011-07-03 09:19:23,2
2011-07-03 09:19:23,2011-07-04 01:33:23,1
