datetime,light,twilight,interp,excluded
2011-06-15T21:06:00.000Z,44,0,FALSE,FALSE
2011-06-15T21:07:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:07:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:09:59.000Z,60,0,FALSE,FALSE
2011-06-15T23:11:59.000Z,52,0,FALSE,FALSE
2011-06-15T23:13:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:25:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:27:59.000Z,54,0,FALSE,FALSE
2011-06-15T23:29:59.000Z,56,0,FALSE,FALSE
2011-06-15T23:31:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:35:59.000Z,64,0,FALSE,FALSE
2011-06-15T23:37:59.000Z,48,0,FALSE,FALSE
2011-06-15T23:39:59.000Z,44,0,FALSE,FALSE
2011-06-15T23:41:59.000Z,36,0,FALSE,FALSE
2011-06-15T23:43:59.000Z,36,0,FALSE,FALSE
2011-06-15T23:45:59.000Z,34,0,FALSE,FALSE
2011-06-15T23:51:59.000Z,34,0,FALSE,FALSE
2011-06-15T23:53:59.000Z,32,0,FALSE,FALSE
2011-06-15T23:55:59.000Z,28,0,FALSE,FALSE
2011-06-15T23:57:59.000Z,28,0,FALSE,FALSE
2011-06-15T23:59:59.000Z,26,0,FALSE,FALSE
2011-06-16T00:01:59.000Z,26,0,FALSE,FALSE
2011-06-16T00:03:59.000Z,24,0,FALSE,FALSE
2011-06-16T00:05:59.000Z,24,0,FALSE,FALSE
2011-06-16T00:07:59.000Z,22,0,FALSE,FALSE
2011-06-16T00:09:59.000Z,20,0,FALSE,FALSE
2011-06-16T00:11:59.000Z,20,0,FALSE,FALSE
2011-06-16T00:13:59.000Z,18,0,FALSE,FALSE
2011-06-16T00:15:59.000Z,17,0,FALSE,FALSE
2011-06-16T00:17:59.000Z,16,0,FALSE,FALSE
2011-06-16T00:19:59.000Z,64,0,FALSE,FALSE
2011-06-16T01:45:59.000Z,64,0,FALSE,FALSE
2011-06-16T01:47:59.000Z,19,0,FALSE,FALSE
2011-06-16T01:49:43.210Z,2.5,2,TRUE,FALSE
2011-06-16T01:49:59.000Z,0,0,FALSE,FALSE
2011-06-16T09:07:59.000Z,0,0,FALSE,FALSE
2011-06-16T09:09:59.000Z,1,0,FALSE,FALSE
2011-06-16T09:11:59.000Z,2,0,FALSE,FALSE
2011-06-16T09:12:29.000Z,2.5,1,TRUE,FALSE
2011-06-16T09:13:59.000Z,4,0,FALSE,FALSE
2011-06-16T09:15:59.000Z,6,0,FALSE,FALSE
2011-06-16T09:17:59.000Z,10,0,FALSE,FALSE
2011-06-16T09:19:59.000Z,15,0,FALSE,FALSE
2011-06-16T09:21:59.000Z,20,0,FALSE,FALSE
2011-06-16T09:23:59.000Z,30,0,FALSE,FALSE
2011-06-16T09:25:59.000Z,40,0,FALSE,FALSE
2011-06-16T09:27:59.000Z,54,0,FALSE,FALSE
2011-06-16T09:29:59.000Z,64,0,FALSE,FALSE
2011-06-17T01:19:59.000Z,64,0,FALSE,FALSE
2011-06-17T01:21:59.000Z,54,0,FALSE,FALSE
2011-06-17T01:23:59.000Z,42,0,FALSE,FALSE
2011-06-17T01:25:59.000Z,32,0,FALSE,FALSE
2011-06-17T01:27:59.000Z,24,0,FALSE,FALSE
2011-06-17T01:29:59.000Z,18,0,FALSE,FALSE
2011-06-17T01:31:59.000Z,13,0,FALSE,FALSE
2011-06-17T01:33:59.000Z,9,0,FALSE,FALSE
2011-06-17T01:35:59.000Z,6,0,FALSE,FALSE
2011-06-17T01:37:59.000Z,4,0,FALSE,FALSE
2011-06-17T01:39:29.000Z,2.5,2,TRUE,FALSE
2011-06-17T01:39:59.000Z,2,0,FALSE,FALSE
2011-06-17T01:41:59.000Z,1,0,FALSE,FALSE
2011-06-17T01:43:59.000Z,0,0,FALSE,FALSE
2011-06-17T09:07:59.000Z,0,0,FALSE,FALSE
2011-06-17T09:09:59.000Z,1,0,FALSE,FALSE
2011-06-17T09:11:29.000Z,2.5,1,TRUE,FALSE
2011-06-17T09:11:59.000Z,3,0,FALSE,FALSE
2011-06-17T09:13:59.000Z,4,0,FALSE,FALSE
2011-06-17T09:15:59.000Z,6,0,FALSE,FALSE
2011-06-17T09:17:59.000Z,10,0,FALSE,FALSE
2011-06-17T09:19:59.000Z,14,0,FALSE,FALSE
2011-06-17T09:21:59.000Z,20,0,FALSE,FALSE
2011-06-17T09:23:59.000Z,26,0,FALSE,FALSE
2011-06-17T09:25:59.000Z,32,0,FALSE,FALSE
2011-06-17T09:27:59.000Z,50,0,FALSE,FALSE
2011-06-17T09:29:59.000Z,64,0,FALSE,FALSE
2011-06-18T01:21:59.000Z,64,0,FALSE,FALSE
2011-06-18T01:23:59.000Z,46,0,FALSE,FALSE
2011-06-18T01:25:59.000Z,34,0,FALSE,FALSE
2011-06-18T01:27:59.000Z,24,0,FALSE,FALSE
2011-06-18T01:29:59.000Z,17,0,FALSE,FALSE
2011-06-18T01:31:59.000Z,12,0,FALSE,FALSE
2011-06-18T01:33:59.000Z,8,0,FALSE,FALSE
2011-06-18T01:35:59.000Z,5,0,FALSE,FALSE
2011-06-18T01:37:59.000Z,3,0,FALSE,FALSE
2011-06-18T01:38:59.000Z,2.5,2,TRUE,FALSE
2011-06-18T01:39:59.000Z,2,0,FALSE,FALSE
2011-06-18T01:41:59.000Z,0,0,FALSE,FALSE
2011-06-18T09:03:59.000Z,0,0,FALSE,FALSE
2011-06-18T09:05:59.000Z,1,0,FALSE,FALSE
2011-06-18T09:07:59.000Z,2,0,FALSE,FALSE
2011-06-18T09:08:29.000Z,2.5,1,TRUE,FALSE
2011-06-18T09:09:59.000Z,4,0,FALSE,FALSE
2011-06-18T09:11:59.000Z,7,0,FALSE,FALSE
2011-06-18T09:13:59.000Z,10,0,FALSE,FALSE
2011-06-18T09:15:59.000Z,14,0,FALSE,FALSE
2011-06-18T09:17:59.000Z,20,0,FALSE,FALSE
2011-06-18T09:19:59.000Z,28,0,FALSE,FALSE
2011-06-18T09:21:59.000Z,40,0,FALSE,FALSE
2011-06-18T09:23:59.000Z,54,0,FALSE,FALSE
2011-06-18T09:25:59.000Z,64,0,FALSE,FALSE
2011-06-19T01:17:58.000Z,64,0,FALSE,FALSE
2011-06-19T01:19:58.000Z,54,0,FALSE,FALSE
2011-06-19T01:21:58.000Z,38,0,FALSE,FALSE
2011-06-19T01:23:58.000Z,26,0,FALSE,FALSE
2011-06-19T01:25:58.000Z,18,0,FALSE,FALSE
2011-06-19T01:27:58.000Z,12,0,FALSE,FALSE
2011-06-19T01:29:58.000Z,8,0,FALSE,FALSE
2011-06-19T01:31:58.000Z,5,0,FALSE,FALSE
2011-06-19T01:33:58.000Z,3,0,FALSE,FALSE
2011-06-19T01:34:28.000Z,2.5,2,TRUE,FALSE
2011-06-19T01:35:58.000Z,1,0,FALSE,FALSE
2011-06-19T01:37:58.000Z,0,0,FALSE,FALSE
2011-06-19T09:07:58.000Z,0,0,FALSE,FALSE
2011-06-19T09:09:58.000Z,1,0,FALSE,FALSE
