datetime,light
2013-05-09 18:25:17,150
2013-05-09 19:25:17,150
2013-05-09 19:30:17,147.62
2013-05-09 19:35:17,124.91
2013-05-09 19:40:17,68.13
2013-05-09 19:45:17,34.07
2013-05-09 19:50:17,22.71
2013-05-09 19:55:17,11.36
2013-05-10 03:30:17,11.36
2013-05-10 03:35:17,34.07
2013-05-10 03:40:17,45.42
2013-05-10 03:45:17,68.13
2013-05-10 03:50:17,79.49
2013-05-10 03:55:17,102.2
2013-05-10 04:00:17,90.84
2013-05-10 04:05:17,150
2013-05-10 04:15:17,150
2013-05-10 04:20:17,147.62
2013-05-10 04:25:17,150
2013-05-10 16:50:17,150
2013-05-10 16:55:17,34.07
2013-05-10 17:00:17,45.42
2013-05-10 17:05:17,68.13
2013-05-10 17:10:17,68.13
2013-05-10 17:15:17,56.78
2013-05-10 17:25:17,56.78
2013-05-10 17:30:17,68.13
2013-05-10 17:40:17,68.13
2013-05-10 17:45:17,56.78
2013-05-10 17:50:17,56.78
2013-05-10 17:55:17,45.42
2013-05-10 18:00:17,68.13
2013-05-10 18:05:17,56.78
2013-05-10 18:10:17,56.78
2013-05-10 18:15:17,68.13
2013-05-10 18:20:17,56.78
2013-05-10 19:05:17,56.78
2013-05-10 19:10:17,45.42
2013-05-10 21:00:17,45.42
2013-05-10 21:05:17,11.36
2013-05-11 04:00:17,11.36
2013-05-11 04:05:17,22.71
2013-05-11 04:10:17,45.42
2013-05-11 04:25:17,45.42
2013-05-11 04:30:17,56.78
2013-05-11 04:55:17,56.78
2013-05-11 05:00:17,45.42
2013-05-11 05:55:17,45.42
2013-05-11 06:00:17,56.78
2013-05-11 06:45:17,56.78
2013-05-11 06:50:17,45.42
2013-05-11 07:00:17,45.42
2013-05-11 07:05:17,56.78
2013-05-11 07:20:17,56.78
2013-05-11 07:25:17,68.13
2013-05-11 07:30:17,56.78
2013-05-11 07:35:17,68.13
2013-05-11 07:40:17,68.13
2013-05-11 07:45:17,79.49
2013-05-11 07:55:17,79.49
2013-05-11 08:00:17,68.13
2013-05-11 08:05:17,68.13
2013-05-11 08:10:17,56.78
2013-05-11 08:15:17,56.78
2013-05-11 08:20:17,68.13
2013-05-11 08:25:17,56.78
2013-05-11 08:55:17,56.78
2013-05-11 09:00:17,68.13
2013-05-11 09:05:17,56.78
2013-05-11 09:10:17,68.13
2013-05-11 09:20:17,68.13
2013-05-11 09:25:17,150
2013-05-11 18:15:17,150
2013-05-11 18:20:17,113.56
2013-05-11 18:25:17,90.84
2013-05-11 18:30:17,79.49
2013-05-11 18:40:17,79.49
2013-05-11 18:45:17,68.13
2013-05-11 18:50:17,56.78
2013-05-11 19:05:17,56.78
2013-05-11 19:10:17,79.49
2013-05-11 19:15:17,136.27
2013-05-11 19:20:17,150
2013-05-11 21:35:17,150
2013-05-11 21:40:17,11.36
2013-05-12 03:40:17,11.36
2013-05-12 03:45:17,22.71
2013-05-12 03:50:17,34.07
2013-05-12 03:55:17,45.42
2013-05-12 04:00:17,56.78
2013-05-12 04:05:17,68.13
2013-05-12 04:10:17,79.49
2013-05-12 04:15:17,90.84
2013-05-12 04:20:17,102.2
2013-05-12 04:25:17,113.56
2013-05-12 04:30:17,147.62
2013-05-12 04:35:17,150
2013-05-12 20:50:17,150
2013-05-12 20:55:17,11.36
2013-05-13 03:40:17,11.36
2013-05-13 03:45:17,22.71
2013-05-13 03:50:17,45.42
2013-05-13 04:10:17,45.42
2013-05-13 04:15:17,56.78
2013-05-13 04:20:17,56.78
2013-05-13 04:25:17,150
2013-05-13 04:55:17,150
2013-05-13 05:00:17,68.13
2013-05-13 05:10:17,68.13
2013-05-13 05:15:17,150
2013-05-13 05:20:17,90.84
2013-05-13 05:25:17,102.2
2013-05-13 05:30:17,113.56
2013-05-13 05:35:17,150
2013-05-13 18:35:17,150
2013-05-13 18:40:17,147.62
2013-05-13 18:45:17,124.91
2013-05-13 18:50:17,102.2
2013-05-13 18:55:17,150
2013-05-13 19:30:17,150
2013-05-13 19:35:17,45.42
2013-05-13 19:40:17,22.71
2013-05-13 19:45:17,11.36
2013-05-13 20:00:17,11.36
2013-05-13 20:05:17,150
2013-05-13 21:15:17,150
2013-05-13 21:20:17,34.07
2013-05-13 21:25:17,11.36
2013-05-14 03:25:17,11.36
2013-05-14 03:30:17,34.07
2013-05-14 03:35:17,45.42
2013-05-14 03:45:17,45.42
2013-05-14 03:50:17,56.78
2013-05-14 03:55:17,68.13
2013-05-14 04:00:17,79.49
2013-05-14 04:05:17,90.84
2013-05-14 04:10:17,113.56
2013-05-14 04:15:17,136.27
2013-05-14 04:20:17,147.62
2013-05-14 04:25:17,150
2013-05-14 18:05:17,150
