tFirst,tSecond,type
2013-05-09 19:43:16,2013-05-10 03:40:07,2
2013-05-10 03:40:07,2013-05-10 21:00:19,1
2013-05-10 21:00:19,2013-05-11 04:10:12,2
2013-05-11 04:10:12,2013-05-11 21:38:40,1
2013-05-11 21:38:40,2013-05-12 03:55:07,2
2013-05-12 03:55:07,2013-05-12 20:53:03,1
2013-05-12 20:53:03,2013-05-13 03:50:12,2
2013-05-13 03:50:12,2013-05-13 21:19:42,1
2013-05-13 21:19:42,2013-05-14 03:35:07,2
2013-05-14 03:35:07,2013-05-14 19:35:26,1
2013-05-14 19:35:26,2013-05-15 03:50:07,2
2013-05-15 03:50:07,2013-05-15 20:20:59,1
2013-05-15 20:20:59,2013-05-16 03:35:11,2
2013-05-16 03:35:11,2013-05-16 19:05:25,1
2013-05-16 19:05:25,2013-05-17 03:30:06,2
2013-05-17 03:30:06,2013-05-17 21:13:30,1
2013-05-17 21:13:30,2013-05-18 04:00:06,2
2013-05-18 04:00:06,2013-05-18 20:44:46,1
2013-05-18 20:44:46,2013-05-19 03:50:06,2
2013-05-19 03:50:06,2013-05-19 21:13:26,1
2013-05-19 21:13:26,2013-05-20 03:50:06,2
2013-05-20 03:50:06,2013-05-20 20:23:44,1
2013-05-20 20:23:44,2013-05-21 03:45:10,2
2013-05-21 03:45:10,2013-05-21 21:29:51,1
2013-05-21 21:29:51,2013-05-22 03:50:05,2
2013-05-22 03:50:05,2013-05-22 21:13:44,1
2013-05-22 21:13:44,2013-05-23 04:00:05,2
2013-05-23 04:00:05,2013-05-23 21:14:51,1
2013-05-23 21:14:51,2013-05-24 03:25:05,2
2013-05-24 03:25:05,2013-05-24 21:18:44,1
2013-05-24 21:18:44,2013-05-25 03:30:05,2
2013-05-25 03:30:05,2013-05-25 19:35:24,1
2013-05-25 19:35:24,2013-05-26 03:30:10,2
2013-05-26 03:30:10,2013-05-26 21:21:41,1
2013-05-26 21:21:41,2013-05-27 03:15:04,2
2013-05-27 03:15:04,2013-05-27 21:01:30,1
2013-05-27 21:01:30,2013-05-28 02:28:57,2
2013-05-28 02:28:57,2013-05-28 20:55:23,1
2013-05-28 20:55:23,2013-05-29 02:40:09,2
2013-05-29 02:40:09,2013-05-29 20:46:23,1
2013-05-29 20:46:23,2013-05-30 02:37:57,2
2013-05-30 02:37:57,2013-05-30 20:20:23,1
2013-05-30 20:20:23,2013-05-31 02:24:30,2
2013-05-31 02:24:30,2013-05-31 20:36:23,1
2013-05-31 20:36:23,2013-06-01 02:55:04,2
2013-06-01 02:55:04,2013-06-01 19:54:55,1
2013-06-01 19:54:55,2013-06-02 03:01:45,2
2013-06-02 03:01:45,2013-06-02 20:50:22,1
2013-06-02 20:50:22,2013-06-03 02:25:08,2
2013-06-03 02:25:08,2013-06-03 20:25:22,1
2013-06-03 20:25:22,2013-06-04 02:43:45,2
2013-06-04 02:43:45,2013-06-04 20:30:17,1
2013-06-04 20:30:17,2013-06-05 02:17:56,2
